




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (1849)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
cellular response to DNA damage stimulus (GO:0006974)	793	38	71.19	-	.53	3.55E-05	9.71E-04
rRNA metabolic process (GO:0016072)	272	6	24.42	-	.25	3.67E-05	1.00E-03
ubiquitin-dependent protein catabolic process (GO:0006511)	545	22	48.93	-	.45	3.73E-05	1.02E-03
innate immune response (GO:0045087)	848	42	76.13	-	.55	3.77E-05	1.03E-03
RNA catabolic process (GO:0006401)	248	5	22.27	-	.22	4.28E-05	1.16E-03
cytoplasmic translation (GO:0002181)	122	0	10.95	-	 < 0.01	4.44E-05	1.20E-03
bone morphogenesis (GO:0060349)	97	24	8.71	+	2.76	4.43E-05	1.20E-03
cellular catabolic process (GO:0044248)	1812	113	162.68	-	.69	4.46E-05	1.20E-03
detection of stimulus involved in sensory perception of pain (GO:0062149)	27	12	2.42	+	4.95	4.49E-05	1.21E-03
detection of stimulus involved in sensory perception (GO:0050906)	557	23	50.01	-	.46	4.55E-05	1.23E-03
GABAergic neuron differentiation (GO:0097154)	14	9	1.26	+	7.16	4.82E-05	1.30E-03
negative regulation of cell development (GO:0010721)	180	36	16.16	+	2.23	4.90E-05	1.32E-03
cellular response to organic cyclic compound (GO:0071407)	511	77	45.88	+	1.68	5.01E-05	1.34E-03
multicellular organismal signaling (GO:0035637)	128	29	11.49	+	2.52	5.06E-05	1.35E-03
regulation of vasculature development (GO:1901342)	286	50	25.68	+	1.95	5.08E-05	1.36E-03
anterior/posterior axon guidance (GO:0033564)	7	7	.63	+	11.14	5.20E-05	1.39E-03
associative learning (GO:0008306)	79	21	7.09	+	2.96	5.46E-05	1.45E-03
protein metabolic process (GO:0019538)	4203	306	377.34	-	.81	5.53E-05	1.47E-03
negative regulation of Wnt signaling pathway (GO:0030178)	219	41	19.66	+	2.09	5.54E-05	1.47E-03
heart valve morphogenesis (GO:0003179)	55	17	4.94	+	3.44	5.87E-05	1.55E-03
positive regulation of epithelial cell differentiation (GO:0030858)	55	17	4.94	+	3.44	5.87E-05	1.55E-03
defense response to other organism (GO:0098542)	1038	56	93.19	-	.60	5.90E-05	1.55E-03
regulation of cell growth (GO:0001558)	422	66	37.89	+	1.74	5.89E-05	1.55E-03
positive regulation of neural precursor cell proliferation (GO:2000179)	55	17	4.94	+	3.44	5.87E-05	1.55E-03
regulation of axonogenesis (GO:0050770)	161	33	14.45	+	2.28	6.06E-05	1.59E-03
regulation of muscle contraction (GO:0006937)	161	33	14.45	+	2.28	6.06E-05	1.59E-03
regulation of extent of cell growth (GO:0061387)	112	26	10.06	+	2.59	6.15E-05	1.61E-03
regulation of neuron apoptotic process (GO:0043523)	210	40	18.85	+	2.12	6.27E-05	1.64E-03
regulation of MAPK cascade (GO:0043408)	707	99	63.47	+	1.56	6.34E-05	1.65E-03
pituitary gland development (GO:0021983)	44	15	3.95	+	3.80	6.35E-05	1.65E-03
positive regulation of stem cell differentiation (GO:2000738)	19	10	1.71	+	5.86	6.54E-05	1.70E-03
negative regulation of transport (GO:0051051)	430	67	38.61	+	1.74	6.57E-05	1.70E-03
adult locomotory behavior (GO:0008344)	74	20	6.64	+	3.01	6.70E-05	1.74E-03
catabolic process (GO:0009056)	2096	136	188.18	-	.72	6.83E-05	1.77E-03
cellular response to calcium ion (GO:0071277)	87	22	7.81	+	2.82	6.90E-05	1.78E-03
response to metal ion (GO:0010038)	379	61	34.03	+	1.79	6.94E-05	1.79E-03
chemical synaptic transmission, postsynaptic (GO:0099565)	68	19	6.10	+	3.11	6.96E-05	1.79E-03
regulation of heart rate by cardiac conduction (GO:0086091)	39	14	3.50	+	4.00	7.04E-05	1.81E-03
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	120	0	10.77	-	 < 0.01	7.06E-05	1.81E-03
forebrain cell migration (GO:0021885)	62	18	5.57	+	3.23	7.09E-05	1.81E-03
positive regulation of phospholipase activity (GO:0010518)	62	18	5.57	+	3.23	7.09E-05	1.82E-03
respiratory system development (GO:0060541)	200	38	17.96	+	2.12	7.35E-05	1.88E-03
cardiac muscle cell differentiation (GO:0055007)	81	21	7.27	+	2.89	7.39E-05	1.89E-03
skeletal muscle organ development (GO:0060538)	134	29	12.03	+	2.41	7.49E-05	1.91E-03
striated muscle cell differentiation (GO:0051146)	191	37	17.15	+	2.16	7.85E-05	2.00E-03
central nervous system neuron development (GO:0021954)	88	22	7.90	+	2.78	7.96E-05	2.02E-03
response to corticosteroid (GO:0031960)	168	34	15.08	+	2.25	8.14E-05	2.06E-03
calcium ion transport (GO:0006816)	244	44	21.91	+	2.01	8.12E-05	2.06E-03
regulation of muscle system process (GO:0090257)	231	42	20.74	+	2.03	8.43E-05	2.12E-03
artery morphogenesis (GO:0048844)	63	18	5.66	+	3.18	8.43E-05	2.13E-03
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	147	31	13.20	+	2.35	8.53E-05	2.15E-03
odontogenesis of dentin-containing tooth (GO:0042475)	82	21	7.36	+	2.85	8.58E-05	2.16E-03
Golgi vesicle transport (GO:0048193)	398	14	35.73	-	.39	8.93E-05	2.24E-03
negative regulation of nervous system development (GO:0051961)	148	31	13.29	+	2.33	8.93E-05	2.24E-03
metal ion transport (GO:0030001)	326	54	29.27	+	1.85	9.63E-05	2.39E-03
response to nicotine (GO:0035094)	46	15	4.13	+	3.63	9.60E-05	2.39E-03
protein-DNA complex assembly (GO:0065004)	256	6	22.98	-	.26	9.63E-05	2.39E-03
determination of heart left/right asymmetry (GO:0061371)	70	19	6.28	+	3.02	9.63E-05	2.39E-03
genitalia development (GO:0048806)	46	15	4.13	+	3.63	9.60E-05	2.39E-03
endocardial cushion morphogenesis (GO:0003203)	35	13	3.14	+	4.14	9.59E-05	2.40E-03
embryonic eye morphogenesis (GO:0048048)	35	13	3.14	+	4.14	9.59E-05	2.40E-03
mitochondrial gene expression (GO:0140053)	142	1	12.75	-	.08	9.94E-05	2.46E-03
respiratory electron transport chain (GO:0022904)	112	0	10.06	-	 < 0.01	9.99E-05	2.46E-03
secondary palate development (GO:0062009)	25	11	2.24	+	4.90	9.99E-05	2.47E-03
anatomical structure maturation (GO:0071695)	196	37	17.60	+	2.10	1.03E-04	2.53E-03
hindbrain development (GO:0030902)	151	31	13.56	+	2.29	1.06E-04	2.61E-03
viral process (GO:0016032)	444	17	39.86	-	.43	1.06E-04	2.61E-03
cardiac cell fate commitment (GO:0060911)	12	8	1.08	+	7.43	1.07E-04	2.62E-03
regulation of protein localization (GO:0032880)	894	118	80.26	+	1.47	1.08E-04	2.64E-03
viral transcription (GO:0019083)	116	0	10.41	-	 < 0.01	1.09E-04	2.67E-03
embryonic heart tube morphogenesis (GO:0003143)	71	19	6.37	+	2.98	1.13E-04	2.75E-03
cellular ion homeostasis (GO:0006873)	659	92	59.16	+	1.55	1.13E-04	2.75E-03
positive regulation of axonogenesis (GO:0050772)	84	21	7.54	+	2.78	1.15E-04	2.78E-03
canonical Wnt signaling pathway (GO:0060070)	84	21	7.54	+	2.78	1.15E-04	2.79E-03
cardiac septum development (GO:0003279)	103	24	9.25	+	2.60	1.17E-04	2.82E-03
collagen fibril organization (GO:0030199)	103	24	9.25	+	2.60	1.17E-04	2.83E-03
autonomic nervous system development (GO:0048483)	47	15	4.22	+	3.55	1.17E-04	2.83E-03
heart looping (GO:0001947)	65	18	5.84	+	3.08	1.18E-04	2.84E-03
mitotic cell cycle (GO:0000278)	750	37	67.33	-	.55	1.20E-04	2.89E-03
telencephalon cell migration (GO:0022029)	59	17	5.30	+	3.21	1.21E-04	2.90E-03
positive regulation of growth (GO:0045927)	257	45	23.07	+	1.95	1.21E-04	2.90E-03
bone development (GO:0060348)	189	36	16.97	+	2.12	1.21E-04	2.90E-03
mitotic cell cycle process (GO:1903047)	675	32	60.60	-	.53	1.22E-04	2.92E-03
regulation of transferase activity (GO:0051338)	1033	133	92.74	+	1.43	1.22E-04	2.92E-03
response to inorganic substance (GO:0010035)	553	80	49.65	+	1.61	1.26E-04	3.00E-03
vasoconstriction (GO:0042310)	31	12	2.78	+	4.31	1.29E-04	3.07E-03
dopaminergic neuron differentiation (GO:0071542)	31	12	2.78	+	4.31	1.29E-04	3.08E-03
positive regulation of animal organ morphogenesis (GO:0110110)	31	12	2.78	+	4.31	1.29E-04	3.08E-03
regulation of animal organ formation (GO:0003156)	26	11	2.33	+	4.71	1.32E-04	3.11E-03
mesodermal cell differentiation (GO:0048333)	26	11	2.33	+	4.71	1.32E-04	3.11E-03
regulation of AMPA receptor activity (GO:2000311)	26	11	2.33	+	4.71	1.32E-04	3.12E-03
regulation of behavior (GO:0050795)	72	19	6.46	+	2.94	1.32E-04	3.12E-03
positive regulation of cellular protein metabolic process (GO:0032270)	1474	179	132.33	+	1.35	1.34E-04	3.15E-03
developmental growth (GO:0048589)	358	57	32.14	+	1.77	1.36E-04	3.19E-03
endothelium development (GO:0003158)	97	23	8.71	+	2.64	1.42E-04	3.34E-03
immune system process (GO:0002376)	2903	203	260.63	-	.78	1.45E-04	3.41E-03
cellular chemical homeostasis (GO:0055082)	762	103	68.41	+	1.51	1.46E-04	3.41E-03
nephron tubule formation (GO:0072079)	17	9	1.53	+	5.90	1.47E-04	3.44E-03
growth (GO:0040007)	361	57	32.41	+	1.76	1.50E-04	3.49E-03
nitrogen compound transport (GO:0071705)	1708	108	153.34	-	.70	1.50E-04	3.49E-03
regulation of protein kinase B signaling (GO:0051896)	235	42	21.10	+	1.99	1.50E-04	3.50E-03
excitatory chemical synaptic transmission (GO:0098976)	9	7	.81	+	8.66	1.50E-04	3.50E-03
regulation of phospholipase activity (GO:0010517)	73	19	6.55	+	2.90	1.53E-04	3.56E-03
regulation of animal organ morphogenesis (GO:2000027)	183	35	16.43	+	2.13	1.55E-04	3.60E-03
positive regulation of catalytic activity (GO:0043085)	1240	154	111.33	+	1.38	1.56E-04	3.62E-03
regulation of Notch signaling pathway (GO:0008593)	106	24	9.52	+	2.52	1.58E-04	3.66E-03
complement activation, classical pathway (GO:0006958)	161	2	14.45	-	.14	1.59E-04	3.67E-03
glial cell fate commitment (GO:0021781)	13	8	1.17	+	6.85	1.60E-04	3.69E-03
cellular macromolecule biosynthetic process (GO:0034645)	1639	103	147.15	-	.70	1.61E-04	3.71E-03
outflow tract morphogenesis (GO:0003151)	67	18	6.02	+	2.99	1.62E-04	3.73E-03
multicellular organismal response to stress (GO:0033555)	67	18	6.02	+	2.99	1.62E-04	3.73E-03
positive regulation of muscle contraction (GO:0045933)	43	14	3.86	+	3.63	1.65E-04	3.77E-03
potassium ion import across plasma membrane (GO:1990573)	43	14	3.86	+	3.63	1.65E-04	3.78E-03
response to alcohol (GO:0097305)	253	44	22.71	+	1.94	1.65E-04	3.78E-03
intestinal epithelial cell differentiation (GO:0060575)	22	10	1.98	+	5.06	1.67E-04	3.81E-03
protein targeting (GO:0006605)	322	10	28.91	-	.35	1.68E-04	3.81E-03
positive regulation of protein metabolic process (GO:0051247)	1562	187	140.23	+	1.33	1.67E-04	3.82E-03
cartilage condensation (GO:0001502)	22	10	1.98	+	5.06	1.67E-04	3.82E-03
response to extracellular stimulus (GO:0009991)	531	77	47.67	+	1.62	1.69E-04	3.83E-03
cardiac muscle cell action potential (GO:0086001)	49	15	4.40	+	3.41	1.72E-04	3.85E-03
male sex differentiation (GO:0046661)	161	32	14.45	+	2.21	1.70E-04	3.85E-03
protein modification process (GO:0036211)	2985	210	267.99	-	.78	1.73E-04	3.86E-03
regulation of neuronal synaptic plasticity (GO:0048168)	49	15	4.40	+	3.41	1.72E-04	3.86E-03
cellular protein modification process (GO:0006464)	2985	210	267.99	-	.78	1.73E-04	3.86E-03
skeletal muscle cell differentiation (GO:0035914)	49	15	4.40	+	3.41	1.72E-04	3.86E-03
embryonic hindlimb morphogenesis (GO:0035116)	27	11	2.42	+	4.54	1.72E-04	3.87E-03
ventricular cardiac muscle tissue development (GO:0003229)	55	16	4.94	+	3.24	1.73E-04	3.87E-03
response to steroid hormone (GO:0048545)	285	48	25.59	+	1.88	1.71E-04	3.87E-03
embryonic camera-type eye morphogenesis (GO:0048596)	27	11	2.42	+	4.54	1.72E-04	3.87E-03
negative regulation of amine transport (GO:0051953)	27	11	2.42	+	4.54	1.72E-04	3.88E-03
positive regulation of lipase activity (GO:0060193)	74	19	6.64	+	2.86	1.78E-04	3.97E-03
positive regulation of secretion by cell (GO:1903532)	288	48	25.86	+	1.86	1.85E-04	4.13E-03
organelle assembly (GO:0070925)	796	41	71.46	-	.57	1.90E-04	4.23E-03
action potential (GO:0001508)	92	22	8.26	+	2.66	1.92E-04	4.27E-03
ATP metabolic process (GO:0046034)	206	4	18.49	-	.22	1.98E-04	4.39E-03
negative regulation of synaptic transmission (GO:0050805)	62	17	5.57	+	3.05	1.99E-04	4.41E-03
positive regulation of cell migration (GO:0030335)	520	75	46.69	+	1.61	2.02E-04	4.47E-03
reactive oxygen species metabolic process (GO:0072593)	101	23	9.07	+	2.54	2.06E-04	4.55E-03
regulation of presynapse organization (GO:0099174)	33	12	2.96	+	4.05	2.08E-04	4.55E-03
cellular cation homeostasis (GO:0030003)	642	89	57.64	+	1.54	2.07E-04	4.56E-03
neuromuscular process controlling balance (GO:0050885)	50	15	4.49	+	3.34	2.06E-04	4.56E-03
regulation of presynapse assembly (GO:1905606)	33	12	2.96	+	4.05	2.08E-04	4.56E-03
positive regulation of endothelial cell proliferation (GO:0001938)	93	22	8.35	+	2.63	2.07E-04	4.56E-03
regulation of synaptic transmission, GABAergic (GO:0032228)	33	12	2.96	+	4.05	2.08E-04	4.57E-03
forebrain regionalization (GO:0021871)	23	10	2.06	+	4.84	2.23E-04	4.86E-03
enteroendocrine cell differentiation (GO:0035883)	23	10	2.06	+	4.84	2.23E-04	4.87E-03
cell aggregation (GO:0098743)	23	10	2.06	+	4.84	2.23E-04	4.87E-03
response to BMP (GO:0071772)	94	22	8.44	+	2.61	2.25E-04	4.90E-03
cellular response to BMP stimulus (GO:0071773)	94	22	8.44	+	2.61	2.25E-04	4.91E-03
homeostatic process (GO:0042592)	1680	198	150.83	+	1.31	2.27E-04	4.94E-03
chondroitin sulfate metabolic process (GO:0030204)	39	13	3.50	+	3.71	2.31E-04	5.02E-03
spindle organization (GO:0007051)	224	5	20.11	-	.25	2.31E-04	5.02E-03
regulation of vasoconstriction (GO:0019229)	63	17	5.66	+	3.01	2.34E-04	5.05E-03
detection of mechanical stimulus involved in sensory perception of pain (GO:0050966)	14	8	1.26	+	6.36	2.33E-04	5.05E-03
substrate-independent telencephalic tangential migration (GO:0021826)	10	7	.90	+	7.80	2.36E-04	5.09E-03
interneuron migration from the subpallium to the cortex (GO:0021830)	10	7	.90	+	7.80	2.36E-04	5.09E-03
substrate-independent telencephalic tangential interneuron migration (GO:0021843)	10	7	.90	+	7.80	2.36E-04	5.10E-03
response to peptide (GO:1901652)	488	71	43.81	+	1.62	2.38E-04	5.11E-03
nerve development (GO:0021675)	76	19	6.82	+	2.78	2.38E-04	5.11E-03
mRNA transport (GO:0051028)	160	2	14.36	-	.14	2.43E-04	5.21E-03
second-messenger-mediated signaling (GO:0019932)	221	39	19.84	+	1.97	2.44E-04	5.22E-03
glandular epithelial cell differentiation (GO:0002067)	45	14	4.04	+	3.47	2.44E-04	5.22E-03
regulation of muscle cell differentiation (GO:0051147)	145	29	13.02	+	2.23	2.47E-04	5.27E-03
negative regulation of locomotion (GO:0040013)	317	51	28.46	+	1.79	2.48E-04	5.27E-03
ureteric bud morphogenesis (GO:0060675)	51	15	4.58	+	3.28	2.47E-04	5.27E-03
regulation of striated muscle cell differentiation (GO:0051153)	86	21	7.72	+	2.72	2.50E-04	5.33E-03
cellular response to nitrogen compound (GO:1901699)	664	91	59.61	+	1.53	2.59E-04	5.51E-03
hindlimb morphogenesis (GO:0035137)	34	12	3.05	+	3.93	2.60E-04	5.52E-03
positive regulation of cellular component organization (GO:0051130)	1161	144	104.23	+	1.38	2.73E-04	5.78E-03
regulation of morphogenesis of an epithelium (GO:1905330)	64	17	5.75	+	2.96	2.73E-04	5.78E-03
excitatory postsynaptic potential (GO:0060079)	64	17	5.75	+	2.96	2.73E-04	5.79E-03
immunoglobulin mediated immune response (GO:0016064)	201	4	18.05	-	.22	2.77E-04	5.85E-03
negative regulation of platelet activation (GO:0010544)	19	9	1.71	+	5.28	2.79E-04	5.89E-03
positive regulation of DNA binding (GO:0043388)	58	16	5.21	+	3.07	2.86E-04	6.02E-03
regulation of receptor internalization (GO:0002090)	58	16	5.21	+	3.07	2.86E-04	6.03E-03
lymph vessel development (GO:0001945)	24	10	2.15	+	4.64	2.92E-04	6.13E-03
positive regulation of neuron projection development (GO:0010976)	161	31	14.45	+	2.14	2.92E-04	6.13E-03
membrane depolarization (GO:0051899)	52	15	4.67	+	3.21	2.94E-04	6.15E-03
mesonephric tubule morphogenesis (GO:0072171)	52	15	4.67	+	3.21	2.94E-04	6.16E-03
regulation of cell size (GO:0008361)	185	34	16.61	+	2.05	2.97E-04	6.20E-03
response to alkaloid (GO:0043279)	117	25	10.50	+	2.38	2.97E-04	6.20E-03
artery development (GO:0060840)	89	21	7.99	+	2.63	3.03E-04	6.31E-03
cellular response to organonitrogen compound (GO:0071417)	604	84	54.23	+	1.55	3.06E-04	6.37E-03
complement activation (GO:0006956)	177	3	15.89	-	.19	3.14E-04	6.52E-03
sodium ion transport (GO:0006814)	176	33	15.80	+	2.09	3.17E-04	6.57E-03
negative regulation of Wnt signaling pathway involved in heart development (GO:0003308)	7	6	.63	+	9.55	3.20E-04	6.63E-03
regulation of gliogenesis (GO:0014013)	98	22	8.80	+	2.50	3.29E-04	6.81E-03
glycosaminoglycan metabolic process (GO:0030203)	152	30	13.65	+	2.20	3.29E-04	6.81E-03
dentate gyrus development (GO:0021542)	15	8	1.35	+	5.94	3.32E-04	6.85E-03
positive regulation of protein tyrosine kinase activity (GO:0061098)	59	16	5.30	+	3.02	3.37E-04	6.93E-03
positive regulation of synapse assembly (GO:0051965)	59	16	5.30	+	3.02	3.37E-04	6.94E-03
response to calcium ion (GO:0051592)	153	30	13.74	+	2.18	3.41E-04	7.00E-03
activation of adenylate cyclase activity (GO:0007190)	41	13	3.68	+	3.53	3.46E-04	7.10E-03
detection of stimulus (GO:0051606)	721	37	64.73	-	.57	3.50E-04	7.17E-03
cell maturation (GO:0048469)	154	30	13.83	+	2.17	3.54E-04	7.25E-03
mitochondrial respiratory chain complex assembly (GO:0033108)	101	0	9.07	-	 < 0.01	3.56E-04	7.28E-03
regulation of postsynapse organization (GO:0099175)	91	21	8.17	+	2.57	3.58E-04	7.30E-03
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	30	11	2.69	+	4.08	3.58E-04	7.31E-03
cerebral cortex GABAergic interneuron differentiation (GO:0021892)	11	7	.99	+	7.09	3.59E-04	7.32E-03
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	207	37	18.58	+	1.99	3.65E-04	7.43E-03
response to nutrient levels (GO:0031667)	501	72	44.98	+	1.60	3.69E-04	7.49E-03
positive regulation of lipid metabolic process (GO:0045834)	155	30	13.92	+	2.16	3.71E-04	7.52E-03
uterus development (GO:0060065)	20	9	1.80	+	5.01	3.76E-04	7.61E-03
keratinocyte differentiation (GO:0030216)	270	8	24.24	-	.33	3.84E-04	7.78E-03
G protein-coupled receptor signaling pathway (GO:0007186)	1305	158	117.16	+	1.35	3.88E-04	7.84E-03
ribonucleoprotein complex subunit organization (GO:0071826)	196	4	17.60	-	.23	3.89E-04	7.85E-03
regulation of organ growth (GO:0046620)	92	21	8.26	+	2.54	3.92E-04	7.91E-03
macromolecule biosynthetic process (GO:0009059)	1680	109	150.83	-	.72	3.94E-04	7.94E-03
hormone secretion (GO:0046879)	73	18	6.55	+	2.75	3.96E-04	7.94E-03
calcium ion transport into cytosol (GO:0060402)	73	18	6.55	+	2.75	3.96E-04	7.95E-03
regulation of dopamine secretion (GO:0014059)	36	12	3.23	+	3.71	3.99E-04	8.01E-03
negative regulation of neurogenesis (GO:0050768)	143	28	12.84	+	2.18	4.06E-04	8.10E-03
gland morphogenesis (GO:0022612)	100	22	8.98	+	2.45	4.05E-04	8.10E-03
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	100	22	8.98	+	2.45	4.05E-04	8.11E-03
detection of mechanical stimulus (GO:0050982)	54	15	4.85	+	3.09	4.13E-04	8.23E-03
endothelial cell differentiation (GO:0045446)	84	20	7.54	+	2.65	4.14E-04	8.26E-03
negative regulation of response to external stimulus (GO:0032102)	559	78	50.19	+	1.55	4.23E-04	8.42E-03
positive regulation of cation transmembrane transport (GO:1904064)	171	32	15.35	+	2.08	4.25E-04	8.45E-03
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	67	17	6.02	+	2.83	4.29E-04	8.52E-03
RNA localization (GO:0006403)	212	5	19.03	-	.26	4.32E-04	8.57E-03
regulation of endothelial cell proliferation (GO:0001936)	135	27	12.12	+	2.23	4.38E-04	8.67E-03
regulation of DNA binding (GO:0051101)	122	25	10.95	+	2.28	4.43E-04	8.76E-03
inorganic cation import across plasma membrane (GO:0098659)	85	20	7.63	+	2.62	4.44E-04	8.77E-03
inorganic ion import across plasma membrane (GO:0099587)	85	20	7.63	+	2.62	4.44E-04	8.78E-03
regulation of glial cell differentiation (GO:0045685)	74	18	6.64	+	2.71	4.54E-04	8.96E-03
negative regulation of ion transport (GO:0043271)	148	29	13.29	+	2.18	4.66E-04	9.16E-03
response to organophosphorus (GO:0046683)	136	27	12.21	+	2.21	4.66E-04	9.16E-03
positive regulation of ion transmembrane transport (GO:0034767)	187	34	16.79	+	2.03	4.69E-04	9.21E-03
organelle fission (GO:0048285)	369	14	33.13	-	.42	4.71E-04	9.25E-03
negative regulation of anion transport (GO:1903792)	26	10	2.33	+	4.28	4.87E-04	9.52E-03
retina layer formation (GO:0010842)	26	10	2.33	+	4.28	4.87E-04	9.53E-03
aortic valve development (GO:0003176)	37	12	3.32	+	3.61	4.90E-04	9.54E-03
embryonic camera-type eye development (GO:0031076)	37	12	3.32	+	3.61	4.90E-04	9.55E-03
regulation of metal ion transport (GO:0010959)	262	43	23.52	+	1.83	4.89E-04	9.56E-03
type B pancreatic cell differentiation (GO:0003309)	21	9	1.89	+	4.77	4.98E-04	9.65E-03
regulation of collateral sprouting (GO:0048670)	21	9	1.89	+	4.77	4.98E-04	9.67E-03
positive regulation of hormone secretion (GO:0046887)	137	27	12.30	+	2.20	4.97E-04	9.67E-03
nucleobase-containing compound transport (GO:0015931)	245	7	22.00	-	.32	4.97E-04	9.68E-03
positive regulation of epithelial cell migration (GO:0010634)	150	29	13.47	+	2.15	5.00E-04	9.68E-03
response to amine (GO:0014075)	49	14	4.40	+	3.18	5.02E-04	9.72E-03
cell communication involved in cardiac conduction (GO:0086065)	43	13	3.86	+	3.37	5.05E-04	9.76E-03
ATP synthesis coupled electron transport (GO:0042773)	93	0	8.35	-	 < 0.01	5.09E-04	9.81E-03
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	93	0	8.35	-	 < 0.01	5.09E-04	9.83E-03
protein modification by small protein conjugation (GO:0032446)	822	45	73.80	-	.61	5.15E-04	9.91E-03
interneuron migration (GO:1904936)	8	6	.72	+	8.35	5.21E-04	1.00E-02
paraxial mesoderm formation (GO:0048341)	8	6	.72	+	8.35	5.21E-04	1.00E-02
regulation of serotonin secretion (GO:0014062)	8	6	.72	+	8.35	5.21E-04	1.00E-02
ribonucleoprotein complex assembly (GO:0022618)	189	4	16.97	-	.24	5.28E-04	1.01E-02
inhibitory synapse assembly (GO:1904862)	12	7	1.08	+	6.50	5.28E-04	1.01E-02
nucleic acid transport (GO:0050657)	189	4	16.97	-	.24	5.28E-04	1.01E-02
RNA transport (GO:0050658)	189	4	16.97	-	.24	5.28E-04	1.01E-02
regulation of protein transport (GO:0051223)	556	77	49.92	+	1.54	5.41E-04	1.03E-02
import into cell (GO:0098657)	176	32	15.80	+	2.03	5.42E-04	1.03E-02
negative regulation of cell motility (GO:2000146)	285	46	25.59	+	1.80	5.42E-04	1.03E-02
establishment of RNA localization (GO:0051236)	191	4	17.15	-	.23	5.44E-04	1.03E-02
development of primary sexual characteristics (GO:0045137)	221	38	19.84	+	1.92	5.51E-04	1.05E-02
negative regulation of secretion (GO:0051048)	165	31	14.81	+	2.09	5.57E-04	1.06E-02
aortic valve morphogenesis (GO:0003180)	32	11	2.87	+	3.83	5.59E-04	1.06E-02
positive regulation of cartilage development (GO:0061036)	32	11	2.87	+	3.83	5.59E-04	1.06E-02
negative regulation of cell migration (GO:0030336)	270	44	24.24	+	1.82	5.67E-04	1.07E-02
response to cocaine (GO:0042220)	56	15	5.03	+	2.98	5.70E-04	1.07E-02
aminoglycan metabolic process (GO:0006022)	166	31	14.90	+	2.08	5.73E-04	1.08E-02
positive regulation of endothelial cell migration (GO:0010595)	108	23	9.70	+	2.37	5.79E-04	1.09E-02
B cell mediated immunity (GO:0019724)	205	5	18.40	-	.27	5.93E-04	1.11E-02
cardiac muscle cell action potential involved in contraction (GO:0086002)	38	12	3.41	+	3.52	5.96E-04	1.12E-02
response to purine-containing compound (GO:0014074)	154	29	13.83	+	2.10	6.12E-04	1.15E-02
metanephros morphogenesis (GO:0003338)	27	10	2.42	+	4.13	6.18E-04	1.15E-02
cell-cell signaling involved in cardiac conduction (GO:0086019)	27	10	2.42	+	4.13	6.18E-04	1.16E-02
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	3	14.81	-	.20	6.17E-04	1.16E-02
startle response (GO:0001964)	27	10	2.42	+	4.13	6.18E-04	1.16E-02
nuclear export (GO:0051168)	166	3	14.90	-	.20	6.21E-04	1.16E-02
mammary gland epithelial cell differentiation (GO:0060644)	17	8	1.53	+	5.24	6.31E-04	1.17E-02
cellular amide metabolic process (GO:0043603)	820	45	73.62	-	.61	6.32E-04	1.17E-02
membrane depolarization during cardiac muscle cell action potential (GO:0086012)	17	8	1.53	+	5.24	6.31E-04	1.18E-02
response to cAMP (GO:0051591)	97	21	8.71	+	2.41	6.47E-04	1.20E-02
signal release from synapse (GO:0099643)	81	19	7.27	+	2.61	6.52E-04	1.21E-02
neurotransmitter secretion (GO:0007269)	81	19	7.27	+	2.61	6.52E-04	1.21E-02
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	42	23.16	+	1.81	6.57E-04	1.21E-02
neural precursor cell proliferation (GO:0061351)	70	17	6.28	+	2.71	6.57E-04	1.21E-02
positive regulation of peptide secretion (GO:0002793)	110	23	9.88	+	2.33	6.60E-04	1.22E-02
keratinization (GO:0031424)	227	6	20.38	-	.29	6.73E-04	1.24E-02
oxidative phosphorylation (GO:0006119)	120	1	10.77	-	.09	6.87E-04	1.26E-02
translational initiation (GO:0006413)	143	2	12.84	-	.16	6.89E-04	1.27E-02
proximal/distal pattern formation (GO:0009954)	33	11	2.96	+	3.71	6.91E-04	1.27E-02
response to amphetamine (GO:0001975)	33	11	2.96	+	3.71	6.91E-04	1.27E-02
protein modification by small protein removal (GO:0070646)	295	10	26.48	-	.38	7.05E-04	1.29E-02
cellular response to metal ion (GO:0071248)	200	35	17.96	+	1.95	7.07E-04	1.29E-02
